part.nr;part.name;Date & time;Spawn to Press;Delta time last press;x;y;Y;R(P3);G(P3);B(P3);basex;basey;baseY;baseP3(R);baseP3(G);baseP3(B);Differentiated;Distance to base(xyY);Distance to base(P3);Level.nr;Stage.nr
12345;;8/15/2024 9:59:25 PM;0.42;0;0.2366;0.2897;0.2815;0.2150865;0.3222449;0.2569321;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.006999999;0.01433511;1;1;
12345;;8/15/2024 9:59:25 PM;0.42;0;0.234;0.2897;0.2815;0.2101544;0.3245741;0.2569508;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.0044;0.008881382;1;1;
12345;;8/15/2024 9:59:25 PM;0.42;0;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0;0;1;1;
12345;;8/15/2024 9:59:25 PM;0.42;0;0.2327;0.2897;0.2815;0.2077525;0.3257424;0.2569629;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.003099993;0.006210586;1;1;
12345;;8/15/2024 9:59:25 PM;0.42;0;0.2299536;0.2900535;0.2815;0.2026892;0.3288613;0.2569896;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.0004999986;0.0005809223;1;1;
12345;;8/15/2024 9:59:25 PM;0.42;0;0.2314;0.2897;0.2815;0.2053951;0.3269131;0.2569766;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.001800001;0.003578542;1;1;
12345;;8/15/2024 9:59:25 PM;0.42;0;0.2353;0.2897;0.2815;0.2125995;0.3234083;0.2569406;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.005700007;0.01158988;1;1;
12345;;8/15/2024 9:59:25 PM;0.42;0;0.2301;0.2897;0.2815;0.2030834;0.3280861;0.2569922;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.0004999936;0.0009862334;1;1;
12345;;8/15/2024 9:59:26 PM;0.02;0;0.2296;0.2928;0.2815;0.2010846;0.3341787;0.2569676;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.003100008;0.005751376;1;1;
12345;;8/15/2024 9:59:26 PM;0.02;0;0.2296;0.2915;0.2815;0.2015398;0.3318124;0.2569788;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.001800001;0.003341837;1;1;
12345;;8/15/2024 9:59:26 PM;0.02;0;0.2345497;0.2946497;0.2815;0.2089928;0.3330674;0.2568789;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.007000002;0.008159766;1;1;
12345;;8/15/2024 9:59:26 PM;0.02;0;0.231792;0.291892;0.2815;0.2052037;0.3305433;0.2569439;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.003099995;0.003606464;1;1;
12345;;8/15/2024 9:59:26 PM;0.02;0;0.2296;0.2902;0.2815;0.2020172;0.3294473;0.2569926;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.0004999936;0.000928965;1;1;
12345;;8/15/2024 9:59:26 PM;0.02;0;0.2327113;0.2928113;0.2815;0.2064644;0.3313846;0.2569217;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.004400005;0.005122315;1;1;
12345;;8/15/2024 9:59:26 PM;0.02;0;0.2308728;0.2909728;0.2815;0.2039452;0.3297023;0.2569665;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.001800008;0.002092696;1;1;
12345;;8/15/2024 9:59:26 PM;0.02;0;0.2336305;0.2937305;0.2815;0.2077275;0.3322259;0.2569;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.005699993;0.00664005;1;1;
12345;;8/15/2024 9:59:26 PM;0.28;2.239999;0.2264887;0.2928113;0.2815;0.1959782;0.3370264;0.2570233;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.004400005;0.01052846;1;1;
12345;;8/15/2024 9:59:27 PM;0.6199999;2.379998;0.2296;0.2954;0.2815;0.2002413;0.338914;0.2569532;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.005699992;0.01056072;1;1;
12345;;8/15/2024 9:59:27 PM;0.8399997;1.319999;0.2296;0.2967;0.2815;0.1998534;0.3412831;0.2569501;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.006999999;0.01296079;1;1;
12345;;8/15/2024 9:59:27 PM;1.439999;2.999998;0.2296;0.2941;0.2815;0.2006517;0.3365459;0.2569591;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.004400015;0.008157671;1;1;
12345;;8/15/2024 9:59:28 PM;1.719999;0;0.2255695;0.2937305;0.2815;0.1942937;0.3395408;0.2570392;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.005699993;0.01355297;1;1;
12345;;8/15/2024 9:59:28 PM;1.719999;0;0.2283272;0.2909728;0.2815;0.1995624;0.3320062;0.2570033;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.001800008;0.004361354;1;1;
12345;;8/15/2024 9:59:28 PM;1.719999;0;0.227408;0.291892;0.2815;0.197735;0.3345147;0.2570114;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.003099995;0.007464541;1;1;
12345;;8/15/2024 9:59:28 PM;1.719999;0;0.2292464;0.2900535;0.2815;0.2014591;0.3295007;0.2569992;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.0004999986;0.001218984;1;1;
12345;;8/15/2024 9:59:28 PM;0.34;2.719998;0.2252;0.2897;0.2815;0.194803;0.3325279;0.2570666;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.0044;0.008410662;1;1;
12345;;8/15/2024 9:59:28 PM;0.54;1.399999;0.2278;0.2897;0.2815;0.1991094;0.3301671;0.257024;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.001800001;0.003499781;1;1;
12345;;8/15/2024 9:59:29 PM;0.7399998;1.199999;0.2291;0.2897;0.2815;0.2013371;0.32899;0.2570053;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.0004999936;0.0009801658;1;1;
12345;;8/15/2024 9:59:29 PM;1.279999;2.699998;0.2226;0.2897;0.2815;0.190704;0.3348972;0.257116;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.006999999;0.01314411;1;1;
12345;;8/15/2024 9:59:30 PM;1.739999;1.839999;0.2265;0.2897;0.2815;0.1969309;0.3313464;0.2570444;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.003099993;0.005976921;1;1;
12345;;8/15/2024 9:59:30 PM;2.139999;1.199999;0.2292464;0.2893465;0.2815;0.2017246;0.3282145;0.2570077;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.0004999986;0.0005805797;1;1;
12345;;8/15/2024 9:59:31 PM;2.599998;0;0.2246502;0.2946497;0.2815;0.1926826;0.3420582;0.2570589;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.007000002;0.01653814;1;1;
12345;;8/15/2024 9:59:31 PM;2.599998;0;0.2239;0.2897;0.2815;0.1927269;0.3337115;0.2570904;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.005700007;0.01080003;1;1;
12345;;8/15/2024 9:59:31 PM;0.34;2.719998;0.227408;0.287508;0.2815;0.1992235;0.3265331;0.2570562;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.003099995;0.003594744;1;1;
12345;;8/15/2024 9:59:31 PM;0.56;1.539999;0.2296;0.2879;0.2815;0.2029158;0.3252653;0.2570236;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.001800001;0.003348567;1;1;
12345;;8/15/2024 9:59:32 PM;0.7799998;1.319999;0.2264887;0.2865887;0.2815;0.1979767;0.3256926;0.2570811;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.004400005;0.005098612;1;1;
12345;;8/15/2024 9:59:32 PM;1.319999;2.699998;0.2255695;0.2856695;0.2815;0.1967324;0.3248521;0.2571065;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.005699993;0.006600336;1;1;
12345;;8/15/2024 9:59:32 PM;1.539999;0.8799997;0.2246502;0.2847503;0.2815;0.1954907;0.3240118;0.2571324;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.007000002;0.008099858;1;1;
12345;;8/15/2024 9:59:33 PM;2.019999;0;0.2283272;0.2884272;0.2815;0.2004728;0.3273737;0.2570317;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.001800008;0.002088699;1;1;
12345;;8/15/2024 9:59:33 PM;2.019999;0;0.2296;0.2892;0.2815;0.2023994;0.3276287;0.2570051;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.0004999936;0.0009294373;1;1;
12345;;8/15/2024 9:59:33 PM;2.019999;0;0.2296;0.2866;0.2815;0.2034539;0.3229031;0.2570448;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.003100008;0.005771323;1;1;
12345;;8/15/2024 9:59:33 PM;0.24;1.919999;0.2336305;0.2856695;0.2815;0.2114084;0.3175972;0.2570336;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.005699993;0.0142958;1;1;
12345;;8/15/2024 9:59:34 PM;0.4400001;1.399999;0.2296;0.2827;0.2815;0.2051978;0.3158235;0.2571242;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.006999999;0.01306211;1;1;
12345;;8/15/2024 9:59:34 PM;0.6199999;1.08;0.2296;0.284;0.2815;0.2045951;0.3181822;0.2570951;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.005699992;0.01062794;1;1;
12345;;8/15/2024 9:59:34 PM;0.8199998;0.9999996;0.2327113;0.2865887;0.2815;0.2092032;0.3200865;0.257019;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.004400005;0.01097168;1;1;
12345;;8/15/2024 9:59:34 PM;1.159999;1.359999;0.2308728;0.2884272;0.2815;0.2049796;0.3250758;0.2570015;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.001800008;0.004435617;1;1;
12345;;8/15/2024 9:59:35 PM;1.399999;0.7199998;0.2299536;0.2893465;0.2815;0.2029642;0.3275756;0.2569987;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.0004999986;0.001224683;1;1;
12345;;8/15/2024 9:59:35 PM;1.819999;0;0.2296;0.2853;0.2815;0.2040137;0.3205421;0.2570686;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.004400015;0.008197733;1;1;
12345;;8/15/2024 9:59:35 PM;1.819999;0;0.231792;0.287508;0.2815;0.2070598;0.3225794;0.2570083;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.003099995;0.007684739;1;1;
12345;;8/15/2024 9:59:36 PM;0.36;2.879998;0.2366;0.2897;0.2815;0.2150865;0.3222449;0.2569321;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.006999999;0.01433511;1;1;
12345;;8/15/2024 9:59:36 PM;0.56;1.399999;0.2301;0.2897;0.2815;0.2030834;0.3280861;0.2569922;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.0004999936;0.0009862334;1;1;
12345;;8/15/2024 9:59:36 PM;0.7199998;0.9599996;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0;0;1;1;
12345;;8/15/2024 9:59:36 PM;1.1;1.899999;0.2327;0.2897;0.2815;0.2077525;0.3257424;0.2569629;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.003099993;0.006210586;1;1;
12345;;8/15/2024 9:59:37 PM;1.439999;1.359999;0.2353;0.2897;0.2815;0.2125995;0.3234083;0.2569406;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.005700007;0.01158988;1;1;
12345;;8/15/2024 9:59:37 PM;1.779999;0;0.234;0.2897;0.2815;0.2101544;0.3245741;0.2569508;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.0044;0.008881382;1;1;
12345;;8/15/2024 9:59:37 PM;1.779999;0;0.2314;0.2897;0.2815;0.2053951;0.3269131;0.2569766;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.001800001;0.003578542;1;1;
12345;;8/15/2024 9:59:37 PM;1.779999;0;0.2345497;0.2847503;0.2815;0.2136735;0.3151115;0.2570522;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.007000002;0.01765666;1;1;
12345;;8/15/2024 9:59:38 PM;0.28;2.239999;0.2336305;0.2937305;0.2815;0.2077275;0.3322259;0.2569;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.005699993;0.00664005;1;1;
12345;;8/15/2024 9:59:38 PM;0.4800001;1.399999;0.231792;0.291892;0.2815;0.2052037;0.3305433;0.2569439;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.003099995;0.003606464;1;1;
12345;;8/15/2024 9:59:38 PM;0.6799999;1.199999;0.2308728;0.2909728;0.2815;0.2039452;0.3297023;0.2569665;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.001800008;0.002092696;1;1;
12345;;8/15/2024 9:59:38 PM;0.8799997;0.9999996;0.2296;0.2902;0.2815;0.2020172;0.3294473;0.2569926;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.0004999936;0.000928965;1;1;
12345;;8/15/2024 9:59:38 PM;1.199999;1.279999;0.2296;0.2915;0.2815;0.2015398;0.3318124;0.2569788;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.001800001;0.003341837;1;1;
12345;;8/15/2024 9:59:39 PM;1.679999;0;0.2345497;0.2946497;0.2815;0.2089928;0.3330674;0.2568789;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.007000002;0.008159766;1;1;
12345;;8/15/2024 9:59:39 PM;1.679999;0;0.2299536;0.2900535;0.2815;0.2026892;0.3288613;0.2569896;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.0004999986;0.0005809223;1;1;
12345;;8/15/2024 9:59:39 PM;1.679999;0;0.2327113;0.2928113;0.2815;0.2064644;0.3313846;0.2569217;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.004400005;0.005122315;1;1;
12345;;8/15/2024 9:59:40 PM;0.38;3.039998;0.2296;0.2954;0.2815;0.2002413;0.338914;0.2569532;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.005699992;0.01056072;1;1;
12345;;8/15/2024 9:59:40 PM;0.58;1.399999;0.2264887;0.2928113;0.2815;0.1959782;0.3370264;0.2570233;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.004400005;0.01052846;1;1;
12345;;8/15/2024 9:59:40 PM;0.7799998;1.199999;0.2296;0.2941;0.2815;0.2006517;0.3365459;0.2569591;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.004400015;0.008157671;1;1;
12345;;8/15/2024 9:59:40 PM;1.02;1.199999;0.227408;0.291892;0.2815;0.197735;0.3345147;0.2570114;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.003099995;0.007464541;1;1;
12345;;8/15/2024 9:59:41 PM;1.279999;1.04;0.2292464;0.2900535;0.2815;0.2014591;0.3295007;0.2569992;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.0004999986;0.001218984;1;1;
12345;;8/15/2024 9:59:41 PM;1.759999;0;0.2296;0.2928;0.2815;0.2010846;0.3341787;0.2569676;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.003100008;0.005751376;1;1;
12345;;8/15/2024 9:59:41 PM;1.759999;0;0.2296;0.2967;0.2815;0.1998534;0.3412831;0.2569501;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.006999999;0.01296079;1;1;
12345;;8/15/2024 9:59:41 PM;1.759999;0;0.2283272;0.2909728;0.2815;0.1995624;0.3320062;0.2570033;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.001800008;0.004361354;1;1;
12345;;8/15/2024 9:59:42 PM;0.36;2.879998;0.2291;0.2897;0.2815;0.2013371;0.32899;0.2570053;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.0004999936;0.0009801658;1;1;
12345;;8/15/2024 9:59:42 PM;0.52;1.12;0.2246502;0.2946497;0.2815;0.1926826;0.3420582;0.2570589;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.007000002;0.01653814;1;1;
12345;;8/15/2024 9:59:42 PM;0.7199998;1.199999;0.2239;0.2897;0.2815;0.1927269;0.3337115;0.2570904;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.005700007;0.01080003;1;1;
12345;;8/15/2024 9:59:42 PM;0.9199997;0.9999996;0.2265;0.2897;0.2815;0.1969309;0.3313464;0.2570444;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;True;0.003099993;0.005976921;1;1;
12345;;8/15/2024 9:59:43 PM;1.459999;0;0.2255695;0.2937305;0.2815;0.1942937;0.3395408;0.2570392;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.005699993;0.01355297;1;1;
12345;;8/15/2024 9:59:43 PM;1.459999;0;0.2226;0.2897;0.2815;0.190704;0.3348972;0.257116;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.006999999;0.01314411;1;1;
12345;;8/15/2024 9:59:43 PM;1.459999;0;0.2278;0.2897;0.2815;0.1991094;0.3301671;0.257024;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.001800001;0.003499781;1;1;
12345;;8/15/2024 9:59:43 PM;1.459999;0;0.2252;0.2897;0.2815;0.194803;0.3325279;0.2570666;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;False;0.0044;0.008410662;1;1;
12345;;8/15/2024 9:59:44 PM;0.9399996;7.519994;0.2255695;0.2856695;0.2815;0.1967324;0.3248521;0.2571065;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;;0.005699993;0.006600336;1;1;
12345;;8/15/2024 9:59:44 PM;0.9399996;7.519994;0.2264887;0.2865887;0.2815;0.1979767;0.3256926;0.2570811;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;;0.004400005;0.005098612;1;1;
12345;;8/15/2024 9:59:44 PM;0.9399996;7.519994;0.2246502;0.2847503;0.2815;0.1954907;0.3240118;0.2571324;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;;0.007000002;0.008099858;1;1;
12345;;8/15/2024 9:59:44 PM;0.9399996;7.519994;0.2296;0.2892;0.2815;0.2023994;0.3276287;0.2570051;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;;0.0004999936;0.0009294373;1;1;
12345;;8/15/2024 9:59:44 PM;0.9399996;7.519994;0.2283272;0.2884272;0.2815;0.2004728;0.3273737;0.2570317;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;;0.001800008;0.002088699;1;1;
12345;;8/15/2024 9:59:44 PM;0.9399996;7.519994;0.227408;0.287508;0.2815;0.1992235;0.3265331;0.2570562;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;;0.003099995;0.003594744;1;1;
12345;;8/15/2024 9:59:44 PM;0.9399996;7.519994;0.2296;0.2879;0.2815;0.2029158;0.3252653;0.2570236;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;;0.001800001;0.003348567;1;1;
12345;;8/15/2024 9:59:44 PM;0.9399996;7.519994;0.2292464;0.2893465;0.2815;0.2017246;0.3282145;0.2570077;0.2296;0.2897;0.2815;0.2022067;0.3285379;0.2569987;;0.0004999986;0.0005805797;1;1;